City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
203,Gwadar,25.1216,62.3254,27.64,56,0,4.32,PK,2023-04-22 03:31:55
204,Kristiansund,63.1115,7.732,4.36,87,0,1.03,NO,2023-04-22 03:31:55
205,Mirny,62.5353,113.9611,-1.41,77,49,1.65,RU,2023-04-22 03:31:56
206,Suleja,9.1758,7.1808,24.91,78,100,1.34,NG,2023-04-22 03:31:57
207,Bonthe,7.5264,-12.505,26.67,82,92,3.57,SL,2023-04-22 03:31:57
208,Illizi,26.4833,8.4667,22.78,18,2,3.5,DZ,2023-04-22 03:31:58
209,Constantia,44.1833,28.65,4.38,88,5,5.4,RO,2023-04-22 03:31:59
210,Mali,12.079,-12.2982,20.61,34,99,1.76,GN,2023-04-22 03:31:59
211,Dampit,-8.2116,112.7493,28.97,63,80,2.33,ID,2023-04-22 03:32:00
212,Auch,43.65,0.5833,14.13,68,100,0.89,FR,2023-04-22 03:32:01
213,Lazarevskoye,43.9061,39.3331,10.63,94,100,5.15,RU,2023-04-22 03:32:02
214,Cockburn Town,21.4612,-71.1419,25.27,68,35,3.8,TC,2023-04-22 03:32:02
215,Gorgan,36.8387,54.4348,14.98,82,0,0.0,IR,2023-04-22 03:32:03
216,Gadzhiyevo,69.2551,33.3362,-3.89,74,92,6.77,RU,2023-04-22 03:32:04
217,Sidi Salim,31.271,30.7867,14.36,81,97,2.67,EG,2023-04-22 03:32:04
218,Lebu,-37.6167,-73.65,11.94,93,19,4.32,CL,2023-04-22 03:32:05
219,Port Augusta,-32.5,137.7667,24.87,32,0,2.66,AU,2023-04-22 03:32:05
220,Aswan,24.0934,32.907,22.47,20,44,3.61,EG,2023-04-22 03:32:06
221,Moriki,12.8741,6.4875,27.09,41,58,3.83,NG,2023-04-22 03:32:07
222,Anadyr,64.75,177.4833,-5.72,86,20,2.0,RU,2023-04-22 03:31:02
223,Berdigestyakh,62.0989,126.6992,-1.0,79,100,3.35,RU,2023-04-22 03:32:09
224,Villa Gesell,-37.2639,-56.973,11.7,55,100,4.32,AR,2023-04-22 03:32:09
225,Sena Madureira,-9.0656,-68.6569,22.18,99,100,0.99,BR,2023-04-22 03:32:10
226,Paita,-5.0892,-81.1144,25.75,83,100,4.91,PE,2023-04-22 03:32:11
227,Nova Sintra,14.8667,-24.7167,19.53,77,9,8.02,CV,2023-04-22 03:32:12
228,Bubaque,11.2833,-15.8333,26.64,63,99,8.18,GW,2023-04-22 03:32:12
229,Nianzishan,47.5167,122.8833,8.66,13,27,6.31,CN,2023-04-22 03:32:13
230,Praia Da Vitoria,38.7333,-27.0667,17.14,88,40,6.28,PT,2023-04-22 03:32:14
231,Cruz Grande,16.7333,-99.1333,24.91,73,72,0.99,MX,2023-04-22 03:32:14
232,Kasson,44.03,-92.7507,0.25,84,0,4.63,US,2023-04-22 03:32:15
233,Sarankhola,22.3082,89.7897,34.82,41,23,2.25,BD,2023-04-22 03:32:16
234,Filadelfia,39.9523,-75.1638,17.13,89,20,5.14,US,2023-04-22 03:32:16
235,Nong Chik,6.8436,101.178,32.8,56,100,1.44,TH,2023-04-22 03:32:17
236,Al Hazm,16.1641,44.7769,24.29,42,38,4.25,YE,2023-04-22 03:29:46
237,Macapa,0.0389,-51.0664,25.99,100,40,1.54,BR,2023-04-22 03:32:18
238,Todos Santos,23.45,-110.2167,20.37,75,94,2.67,MX,2023-04-22 03:32:19
239,Genhe,50.7833,121.5167,0.55,49,100,5.06,CN,2023-04-22 03:32:06
240,Catia La Mar,10.6038,-67.0303,27.5,88,100,1.54,VE,2023-04-22 03:32:20
241,Fort St. John,56.2499,-120.8529,4.94,48,75,2.57,CA,2023-04-22 03:32:21
242,Mcminnville,45.2101,-123.1987,12.6,85,100,1.54,US,2023-04-22 03:32:21
243,Caleta De Carquin,-11.0925,-77.6267,23.47,81,57,5.02,PE,2023-04-22 03:32:22
244,El Bolson,-41.9667,-71.5167,7.35,92,5,1.51,AR,2023-04-22 03:32:23
245,Xiva,41.3783,60.3639,13.99,16,95,7.21,UZ,2023-04-22 03:32:23
246,Multai,21.7667,78.25,29.22,24,77,3.02,IN,2023-04-22 03:32:24
247,Mejit,10.2753,170.8646,27.02,73,95,7.18,MH,2023-04-22 03:32:25
248,Mus,39.0,41.75,1.02,70,15,1.19,TR,2023-04-22 03:32:26
249,Port Moresby,-9.4431,147.1797,30.68,70,75,5.14,PG,2023-04-22 03:32:08
250,Mahina,-17.5065,-149.489,28.87,79,75,1.54,PF,2023-04-22 03:32:27
251,Yenisarbademli,37.7078,31.3864,9.32,68,100,1.85,TR,2023-04-22 03:32:27
252,Nemuro,43.3236,145.575,4.67,64,71,13.46,JP,2023-04-22 03:27:30
253,Garachico,28.7781,-17.7646,17.06,63,0,2.06,ES,2023-04-22 03:32:29
254,Swift Current,50.2834,-107.8014,-2.55,80,0,2.57,CA,2023-04-22 03:32:29
255,Selfoss,63.9331,-20.9971,3.86,74,98,1.75,IS,2023-04-22 03:32:30
256,Lepsy,46.235,78.9456,7.2,36,0,3.29,KZ,2023-04-22 03:32:31
257,Inarajan Village,13.2736,144.7484,29.54,90,91,6.7,GU,2023-04-22 03:32:31
258,Prince Rupert,54.3161,-130.3201,8.05,80,100,6.17,CA,2023-04-22 03:32:32
259,Tadine,-21.55,167.8833,26.97,71,4,4.62,NC,2023-04-22 03:32:33
260,Cabo San Lucas,22.8909,-109.9124,24.23,65,100,5.33,MX,2023-04-22 03:32:33
261,Santiago De Cao,-7.9589,-79.2392,23.07,78,100,0.0,PE,2023-04-22 03:32:34
262,Severo-Yeniseyskiy,60.3725,93.0408,-1.73,92,93,0.29,RU,2023-04-22 03:32:34
263,Dazhong,33.1997,120.4578,14.77,50,80,6.91,CN,2023-04-22 03:32:35
264,Novyy Urgal,51.0736,132.5642,6.17,48,100,0.66,RU,2023-04-22 03:32:36
265,Camacupa,-12.0167,17.4833,16.14,98,100,1.78,AO,2023-04-22 03:32:36
266,Jinshi,29.6049,111.8701,7.42,86,100,8.73,CN,2023-04-22 03:32:37
267,Anzio,41.4853,12.6179,14.52,74,12,1.72,IT,2023-04-22 03:32:38
268,St. John'S,47.5649,-52.7093,2.04,96,100,8.23,CA,2023-04-22 03:32:38
269,Aliade,7.2964,8.487,25.57,78,94,3.07,NG,2023-04-22 03:32:39
270,Egilsstadir,65.2653,-14.3948,-1.05,69,100,5.14,IS,2023-04-22 03:32:40
271,Utrik,11.2278,169.8474,27.02,75,20,7.44,MH,2023-04-22 03:32:40
272,San Antonio De Pale,-1.4014,5.6325,28.08,77,97,3.33,GQ,2023-04-22 03:32:41
